Afrikaans	Danish	Dutch	English	Esperanto	Filipino	French	German	Hawaiian	Irish	Italian	Latin	Maori	Norwegian	Portuguese	Sachin-Speak	Spanish	Swahili	Swedish	Welsh	Zulu	
weet	kende	weten	know	scias	alam	savoir	wissen	ike	tá a fhios	sapere	scitis	e mohio ana	vet	sei	?	saber	kujua	vet	gwybod	bazi	
water	vand	water	water	akvo	tubig	eau	wasser	ka wai	uisce	acqua	aquam	wai	vann	água	?	agua	maji	vatten	dŵr	kwamanzi	
as	end	dan	than	ol	kaysa	que	als	mamua o	ná	di	quam	atu	enn	que	?	que	kuliko	än	nag	kunalokho	
oproep	opkald	roep	call	alvoko	tawag	appel	anruf	kahea	glao	chiamata	call	karanga	samtale	chamada	?	llamada	simu	samtal	alwad	call	
eerste	første	eerste	first	unua	unang	première	erste	ka mua	ar dtús	primo	prima	tuatahi	første	primeiro	?	primero	kwanza	först	yn gyntaf	okokuqala	
wat	der	die	who	kiuj	kung sino	qui	die	ka mea	a	che	qui	nei	som	que	?	que	ambao	som	pwy	ngubani	
mag	kan	kan	may	may	maaari	peut	können	mei	féadfaidh	può	ut	kia	kan	pode	?	puede	inaweza	får	gall	may	
af	ned	naar beneden	down	malsupren	pababa	vers le bas	nach unten	iho	síos	giù	descendit	ki raro	ned	para baixo	?	abajo	chini	ner	i lawr	phasi	
kant	side	kant	side	flanko	gilid	côté	seite	aoao	taobh	lato	latere	taha	side	lado	?	lado	upande	sida	ochr	side	
gewees	været	geweest	been	estintaj	naging	été	gewesen	i	curtha	stato	fuit	kua	vært	sido	?	estado	imekuwa	varit	bod	kwaba	
nou	nu	nu	now	nun	ngayon	maintenant	jetzt	ano	anois	ora	nunc	i teie nei	nå	agora	?	ahora	sasa	nu	awr	manje	
vind	finde	vinden	find	trovi	hanapin	trouver	finden	loaa	aimsiú	trovare	invenies	kitea	finne	encontrar	?	encontrar	kupata	hitta	dod o hyd i	thola	
hoof	hoved	hoofd	head	kapo	ulo	tête	kopf	poo	ceann	testa	caput	upoko	hode	cabeça	?	cabeza	kichwa	huvud	pen	ikhanda	
staan	stå	staan	stand	staras	tumayo	supporter	stehen	ku	seasamh	stare in piedi	stant	tu	stå	ficar	?	de pie	kusimama	stå	sefyll	nime	
eie	egen	eigen	own	propra	sarili	propre	besitzen	iho	féin	proprio	ipse	ake	egen	próprio	?	propio	mwenyewe	egen	eu hunain	siqu	
bladsy	side	pagina	page	paĝo	pahina	page	seite	palapala	leathanach	pagina	page	whārangi	side	página	?	página	ukurasa	sida	dudalen	page	
behoort	bør	moeten	should	devus	dapat	devrait	sollte	e	ba chóir	dovrebbe	ut	kia	bør	deveria	?	debería	lazima	bör	dylai	kufanele	
land	land	land	country	lando	bansa	pays	land	aina	tír	paese	patriae	whenua	landet	país	?	país	nchi	land	gwlad	izwe	
gevind	fundet	gevonden	found	trovita	natagpuan	trouvé	gefunden	loaa	fuair	fondare	invenit	kitea	funnet	encontrado	?	encontrado	kupatikana	funnen	dod o hyd i	wathola	
antwoord	svar	antwoord	answer	respondo	sagot	réponse	antwort	pane	freagra	risposta	dicendum	ka whakahoki	svar	resposta	?	respuesta	jibu	svar	ateb	impendulo	
skool	skole	de school	school	lernejo	paaralan	école	schule	kula	scoil	scuola	scholae	te kura	skole	escola	?	escuela	shule	skola	ysgol	esikoleni	
groei	vokse	groeien	grow	kreski	lumaki	croître	wachsen	ulu	fás	crescere	crescat	tupu	vokse	crescer	?	crecer	kukua	växa	tyfu	ukhule	
studie	undersøgelse	studie	study	studo	pag-aaral	étude	studie	like	staidéar	studio	studiorum	te tai’oraa i te	studien	estudo	?	estudio	utafiti	studie	astudiaeth	ukutadisha	
steeds	stadig	nog	still	ankoraŭ	pa rin	encore	noch	malie	fós	ancora	etiam	tonu	fortsatt	ainda	?	todavía	bado	fortfarande	dal	namanje	
leer	lære	leren	learn	lerni	malaman	apprendre	lernen	e ao	foghlaim	imparare	discant	ako	lære	aprender	?	aprender	kujifunza	lära	dysgu	ufunde	
plant	plante	planten	plant	planto	halaman	usine	anlage	kanu	plandaí	impianto	herba	te tipu	anlegg	planta	?	planta	kupanda	växt	planhigion	plant	
dekking	dæksel	afdekking	cover	kovrilo	pabalat	couvercle	abdeckung	aloha	chlúdach	copertura	cover	cover	dekselet	cobertura	?	cubierta	cover	lock	clawr	embesa	
voedsel	mad	voedsel	food	nutraĵo	pagkain	nourriture	lebensmittel	ai	bia	cibo	cibum	kai	mat	alimentos	?	alimentos	chakula	mat	bwyd	ngokudla	
son	sol	zon	sun	suno	sun	soleil	sonne	lā	ghrian	sole	solis	ra	sol	sol	?	sol	jua	sol	haul	sun	
vier	fire	vier	four	kvar	apat	quatre	vier	ʻehā	ceithre	quattro	quatuor	e wha	fire	quatro	?	cuatro	nne	fyra	pedwar	ezine	
tussen	mellem	tussen	between	inter	sa pagitan ng	entre	zwischen	waena o	idir	fra	inter	i waenganui i	mellom	entre	?	entre	kati ya	mellan	rhwng	emkhatsini	
staat	stat	staat	state	ŝtata	estado	état	zustand	mokuʻāina	stáit	stato	status	kāwanatanga	stat	estado	?	estado	hali	tillstånd	cyflwr	isimo	
hou	holde	houden	keep	konservi	panatilihin	garder	halten	malama	choinneáil	mantenere	custodi	kia mau	holde	manter	?	mantener	kuweka	hålla	cadw	qhubeka	
oog	øje	oog	eye	okulo	mata	œil	auge	maka	súl	occhio	oculus	kanohi	øye	olho	?	ojo	jicho	öga	llygad	iso	
nooit	aldrig	nooit	never	neniam	hindi kailanman	jamais	nie	loa	riamh	mai	numquam	kore	aldri	nunca	?	nunca	kamwe	aldrig	byth	bonaze	
laaste	sidste	laatste	last	lasta	huli	dernier	letzte	hope	seo caite	ultimo	novissime	whakamutunga	siste	último	?	último	mwisho	sista	diwethaf	okokugcina	
laat	lad	laten	let	lasu	ipaalam	laisser	lassen	e	a ligean	lasciare	dimitte	kia	la	deixar	?	dejar	basi	låt	gadewch	ake	
gedink	tænkte	gedachte	thought	pensis	pag-iisip	pensée	gedanken	manaʻo	shíl	pensiero	cogitavit	whakaaro	trodde	pensava	?	pensado	wazo	trodde	meddwl	bacabanga	
stad	by	stad	city	urbo	lungsod	ville	stadt	kulanakauhale	cathair	città	urbem	pa	by	cidade	?	ciudad	mji	ort	ddinas	dolobha	
boom	træ	boom	tree	arbo	puno	arbre	baum	laau	crann	albero	lignum	rakau	tre	árvore	?	árbol	ya mti	träd	goeden	isihlahla	
steek	krydse	oversteken	cross	transiri	tumawid	traverser	überqueren	kela aoao	tras	attraversare	transire	whakawhiti	krysse	atravessar	?	cruzar	msalaba	korsa	croesi	ukuwela	
plaas	gård	boerderij	farm	farm	sakahan	ferme	bauernhof	mahiʻai	feirme	fattoria	fundum	pāmu	gård	fazenda	?	granja	shamba	gård	fferm	ipulazi	
hard	hårdt	hard	hard	malfacila	matapang	dur	schwer	paakiki	crua	difficile	difficile	pakeke	vanskelig	difícil	?	duro	ngumu	hård	caled	kanzima	
begin	begyndelse	begin	start	komenco	simula	début	beginn	hoʻomaka	tús	inizio	initium	tīmatanga	start	começo	?	inicio	kuanza	start	cychwyn	isiqalo	
mag	måske	zou	might	potenco	lakas	puissance	macht	ikaika	d’fhéadfadh	forza	ut	te kaha	kanskje	poder	?	podría	nguvu	kanske	allai	izikhwepha	
storie	historie	verhaal	story	rakonto	kuwento	histoire	geschichte	moʻolelo	scéal	storia	fabula	kōrero	historien	história	?	historia	hadithi	berättelse	stori	indaba	
saag	sav	zaag	saw	segilo	nakita	scie	säge	i ike ai	chonaic	sega	viderunt omnes	kite	sag	serra	?	sierra	saw	sågen	welodd	okwabonwa	
ver	langt	ver	far	malproksime	malayo	loin	weit	loa	i bhfad	lontano	tantum	tawhiti	langt	longe	?	ahora	mbali	långt	yn hyn	le	
see	hav	zee	sea	maro	dagat	mer	meer	kai	farraige	mare	mare	te moana	sea	mar	?	mar	bahari	hav	môr	ulwandle	
trek	tegne	tekenen	draw	desegni	gumuhit	tirer	ziehen	huki	a tharraingt	disegnare	hauriret	te utu	tegne	desenhar	?	dibujar	kuteka	rita	tynnu	udwebe	
verlaat	venstre	links	left	maldekstra	ang natitira	gauche	links	hema	chlé	sinistra	reliquit	mahue	venstre	esquerda	?	izquierda	kushoto	vänster	gadawodd	kwesokunxele	
laat	sent	laat	late	malfrue	late	tard	spät	hopena o	déanach	tardi	quondam	te mutunga	sent	tarde	?	tarde	marehemu	sen	hwyr	sekwephuzile	
hardloop	køre	lopen	run	run	tumakbo	courir	laufen	mokuʻāina	rith	run	currunt	oma	kjøre	run	?	ejecutar	kukimbia	köra	rhedeg	sigijime	
doen nie	ikke	niet	don’t	ne	hindi	needs a context	unterlassen sie	hana aole	nach	non	non	te mahi e kore e	ikke gjør	não	?	no	kufanya si	inte	peidiwch â	ungenzi	
terwyl	mens	terwijl	while	dum	habang	tandis que	während	oiai	cé go	mentre	cum	ia	mens	enquanto	?	mientras	wakati	medan	tra	ngenkathi	
pers	presse	pers	press	gazetaro	pindutin ang	presse	presse	kaomi	preas	stampa	turba	press	trykk	imprensa	?	prensa	vyombo vya habari	tryck	wasg	cindezela	
naby	tæt	dicht	close	fermi	malapit	proche	schließen	kokoke	gar	close	proxime	tata	nær	perto	?	cerrar	karibu	nära	agos	ngokuminyanisa	
nag	nat	nacht	night	nokto	gabi	nuit	nacht	pō	oíche	notte	noctis	te po	natt	noite	?	noche	usiku	natt	nos	ebusuku	
werklike	real	echt	real	reala	tunay	réel	realen	maoli	fíor	reale	ipsum	tūturu	real	reais	?	reales	halisi	verklig	go iawn	kwangempela	
lewe	liv	leven	life	vivo	buhay	vie	leben	ola	saol	vita	vita	ora	livet	vida	?	vida	maisha	liv	bywyd	kuphila	
paar	få	weinig	few	malmultaj	ilan	peu	wenige	kakaikahi	beag	pochi	pauci	torutoru	noen	poucos	?	pocos	chache	några	ychydig	ambalwa	
noord	nord	noorden	north	norde	hilaga	nord	norden	ke akau	ó thuaidh	nord	aquilonem	ki te raki	nord	norte	?	norte	kaskazini	norr	gogledd	enyakatho	
boek	bog	boek	book	libro	aklat	livre	buch	buke	leabhar	libro	liber	pukapuka	bok	livro	?	libro	kitabu	boken	llyfr	incwadi	
voer	bære	dragen	carry	porti	nagtitinda	porter	tragen	lawe	iompar	portare	ferte	kawe	bære	carregam	?	llevar	kubeba	bära	cario	athwale	
het	tog	nam	took	prenis	kinuha	a pris	nahm	lawe	ghlac	ha preso	tulit	ka tango	tok	tomou	?	tomó	alichukua	tog	cymerodd	wathatha	
wetenskap	videnskab	wetenschap	science	scienco	agham	science	wissenschaft	nauka	eolaíocht	scienza	scientia	pūtaiao	vitenskap	ciência	?	ciencia	sayansi	vetenskap	gwyddoniaeth	isayensi	
eet	spise	eet	eat	manĝi	kumain	manger	essen	ai	ithe	mangiare	manducare	kai	spise	comer	?	comer	kula	äta	bwyta	udle	
kamer	værelse	kamer	room	ĉambro	room	chambre	zimmer	lumi	seomra	camera	locus	ruma	rom	quarto	?	habitación	chumba	rum	ystafell	igumbi	
vriend	ven	vriend	friend	amiko	kaibigan	ami	freund	hoaaloha	cara	amico	amicitia	hoa	venn	amigo	?	amigo	rafiki	vän	ffrind	umngani	
begin	begyndte	begon	began	komencis	sinimulan ni	a commencé	begann	hoomaka ae	thosaigh	ha iniziato	coeperunt	ka timata	begynte	começou	?	comenzó	alianza	började	dechreuodd	waqala	
idee	idé	idee	idea	ideon	idea	idée	idee	manaʻo	smaoineamh	idea	idea	whakaaro	ide	idéia	?	gusta	wazo	idé	syniad	umqondo	
vis	fisk	vis	fish	fiŝo	isda	poisson	fisch	iʻa	iasc	pesce	pisces	ika	fisk	peixe	?	peces	samaki	fisk	pysgod	izinhlanzi	
berg	bjerg	berg	mountain	monto	bundok	montagne	berg	mauna	sliabh	montagna	montem	maunga	fjellet	montanha	?	montaña	mlima	berg	mynydd	ntaba	
stop	stoppe	stop	stop	ĉesi	itigil	arrêtez	stopp	hooki	stad	stop	subsisto	mutu	stoppe	pare	?	deténgase	kuacha	stoppa	rhoi’r gorau i	ima	
keer	en gang	eenmaal	once	unufoje	sabay-sabay	une fois	einmal	pākahi	uair amháin	una volta	quondam	kotahi	gang	uma vez	?	una vez	mara moja	en gång	unwaith	kanye	
basis	basen	base	base	bazo	base	base	basis	kumu	bonn	base	basi	turanga	basen	base	?	base de	msingi	bas	sylfaen	isiza	
hoor	høre	hear	hear	aŭdi	pakinggan	entendre	hören	lohe	chloisteáil	sentire	audite	rongo	høre	ouvir	?	escuchar	kusikia	höra	clywed	zwa	
perd	hest	paard	horse	ĉevalo	kabayo	cheval	pferd	ka lio	capall	cavallo	equo	hoiho	hest	cavalo	?	caballo	farasi	häst	ceffyl	ihhashi	
cut	cut	gesneden	cut	tranĉo	hiwa	coupe	schnitt	e oki ai	gearrtha	taglio	sectis	tapahia	kutt	corte	?	cortada	kata	snitt	torri	ukusika	
seker	sikker	zeker	sure	certas	sigurado	sûr	sicher	paa	cinnte	sicuro	certus	tino	sikker	certo	?	seguro	uhakika	säker	siwr	isiqiniseko	
kyk	ser	kijken	watch	spekti	panoorin	regarder	beobachten	kiai	féachaint ar	orologio	vigilate	mataara	se	assista	?	ver	kuangalia	klocka	gwylio	qaphela	
kleur	farve	kleur	color	koloro	kulay	couleur	farbe	kala like ʻole	dath	colore	colorem	te tae	farge	cor	?	colores	rangi	färg	lliw	umbala	
gesig	ansigt	gezicht	face	vizaĝo	mukha	face	gesicht	maka	aghaidh	volto	faciem	kanohi	ansikt	rosto	?	cara	uso	ansikte	wyneb	ubuso	
hout	træ	hout	wood	ligno	wood	bois	holz	laau	adhmad	legno	lignum	rakau	tre	madeira	?	madera	mbao	trä	pren	izinkuni	
hoof	main	belangrijkste	main	ĉefa	pangunahin	principal	haupt	ka papa kuhikuhie	príomh	principale	main	matua	hoved	principal	?	principal	kuu	huvud	prif	eziyinhloko	
oop	åben	geopend	open	malfermita	bukas	ouvert	geöffnet	hamama	oscailte	aperto	aperi	tuwhera	åpent	aberto	?	abierta	wazi	öppen	agored	evulekile	
lyk	synes	lijken	seem	ŝajnas	mukhang	paraître	scheinen	he	is cosúil go	sembrare	videtur	te mea	synes	parecem	?	parecer	wanaonekana	tyckas	ymddangos	babonakala	
saam	sammen	samen	together	kune	magkasama	ensemble	zusammen	pu	le chéile	insieme	simul	tahi	sammen	juntos	?	juntos	pamoja	tillsammans	gyda’i gilydd	ndawonye	
volgende	næste	volgende	next	sekva	susunod	suivant	nächste	aʻe	seo chugainn	prossimo	postero	i muri	neste	próximo	?	próximo	ijayo	nästa	nesaf	olandelayo	
wit	hvid	wit	white	blanka	puting	blanc	weiß	kala like ʻole	bán	bianco	album	white	hvit	branco	?	blanco	nyeupe	vit	gwyn	elimhlophe	
kinders	børn	kinderen	children	infanoj	mga bata	enfants	kinder	keiki	leanaí	bambini	filii	tamariki	barn	crianças	?	niños	watoto	barn	plant	izingane	
begin	begynde	beginnen	begin	komenci	simulan	commencer	start	hoomaka	tús a chur	inizio	incipe	timata	begynne	início	?	comenzar	kuanza	börja	dechrau	uqale	
het	fik	kreeg	got	akiris	nakakuha	eu	bekam	loaʻa	fuair	ottenuto	obtinuit	ka	fikk	tem	?	conseguido	got	fick	got	wavuka	
loop	gang	lopen	walk	marŝi	lumakad	marcher	gehen	hele	siúl	camminare	ambulate	haere	gå	andar	?	caminar	kutembea	gå	cerdded	uhambe	
byvoorbeeld	eksempel	voorbeeld	example	ekzemplo	halimbawa	exemple	beispiel	eia	mar shampla	esempio	exemplum	tauira	eksempel	exemplo	?	ejemplo	mfano	exempel	enghraifft	isibonelo	
verlig	lethed	gemak	ease	faciligi	luwag	facilité	erleichtern	hoopau i	maolú ar	alleviare	relevare	mamatanga	lette	facilidade	?	aliviar	kupunguza	lindra	leddfu	ekudambiseni	
papier	papir	papier	paper	papero	papel	papier	papier	pepa	páipéar	carta	cartam	pepa	papir	papel	?	papel	karatasi	papper	papur	ephepheni	
groep	gruppe	groep	group	grupo	pangkat	groupe	gruppe	hui	grúpa	gruppo	group	rōpū	gruppe	grupo	?	grupo	kundi	grupp	grŵp	iqoqo	
altyd	altid	altijd	always	ĉiam	palagi	toujours	immer	mau	i gcónaí	sempre	semper	tonu	alltid	sempre	?	siempre	daima	alltid	bob amser	njalo	
musiek	musik	muziek	music	muziko	musika	musique	musik	aloha	ceol	musica	musica	waiata	musikk	música	?	música	muziki	musik	cerddoriaeth	umculo	
diegene	dem	die	those	tiuj	iyon	ceux	diejenigen	mau	sin	quelli	eorum	te hunga	de	aqueles	?	los	wale	de som	y rhai	nalabo	
beide	både	beide	both	ambaŭ	kapwa	tous les deux	beide	elua	dá	entrambi	et	e rua	både	tanto	?	ambos	wote wawili	båda	ddau	kokubili	
merk	mark	mark	mark	markon	mark	marque	marke	mark	marc	marchio	caracterem	tohu	mark	marca	?	marca	alama	märke	marc	uphawu	
dikwels	ofte	vaak	often	ofte	madalas	souvent	oft	pinepine	is minic	spesso	saepe	maha	ofte	muitas vezes	?	menudo	mara nyingi	ofta	yn aml	ngokuvamile	
brief	brev	brief	letter	letero	sulat	lettre	schreiben	palapala	litir	lettera	litteris	reta	brev	carta	?	carta	barua	bokstav	llythyr	incwadi	
totdat	indtil	tot	until	ĝis	hanggang sa	jusqu’à ce que	bis	a hiki i	go dtí	fino a quando	usque	tae noa ki	før	até	?	hasta	mpaka	tills	nes	kuze	
myl	mile	mijl	mile	mejlo	milya	mile	meile	ka mile	míle	miglio	mille passuum	mile	mile	milha	?	milla	maili	mil	milltir	lwamakhilomitha	
rivier	flod	rivier	river	rivero	ilog	rivière	fluss	muliwai	abhainn	fiume	fluvio	te awa	elv	rio	?	río	mto	flod	afon	emfuleni	
motor	bil	auto	car	aŭto	kotse	voiture	auto	kaʻa	carr	auto	car	motokā	bil	carro	?	coche	gari	bil	car	imoto	
voete	fødder	voeten	feet	piedojn	paa	pieds	füße	wawae	cosa	piedi	pedes	waewae	føtter	pés	?	pies	miguu	fot	traed	izinyawo	
sorg	pleje	zorg	care	prizorgi	pag-aalaga	soins	pflege	mālama	cúram	cura	cura	tiaki	omsorg	cuidados	?	cuidado	huduma	vård	gofal	ukunakekelwa	
tweede	sekund	tweede	second	dua	pangalawa	deuxième	zweite	ka lua	an dara	secondo	secundo	tuarua	andre	segunda	?	segundo	pili	andra	yn ail	kwesibili	
genoeg	nok	genoeg	enough	sufiĉa	sapat	assez	genug	lawa	leor	abbastanza	sufficit	nui	nok	suficiente	?	suficiente	kutosha	tillräckligt	ddigon	ngokwanele	
vlakte	plain	vlakte	plain	ebenaĵo	plain	plaine	ebene	maopopo	plain	pianura	patet	mania	plain	plain	?	llano	wazi	vanlig	plaen	ithafa	
meisie	pige	meisje	girl	knabino	batang babae	fille	mädchen	kaikamahine	cailín	ragazza	puella	kotiro	jente	menina	?	chica	msichana	flicka	merch	ntombazane	
gewone	sædvanlig	gebruikelijke	usual	kutima	karaniwan	habituel	üblich	mau	gnách	solito	more	mua	vanlig	habitual	?	habitual	kawaida	vanligt	arferol	evamile	
jong	unge	jonge	young	junulo	batang	jeune	jung	opiopio	óg	giovane	adulescens	taitamariki	ung	jovem	?	joven	vijana	ung	ifanc	young	
gereed	klar	klaar	ready	preta	handa	prêt	bereit	makaukau	réidh	pronto	parata	rite	klar	pronto	?	listo	tayari	klar	barod	ngomumo	
bo	ovenfor	boven	above	supre	sa itaas	au-dessus	oben	luna	thuas	sopra	supra	i runga	ovenfor	acima	?	por encima de	juu	ovan	uchod	ngenhla	
ooit	nogensinde	ooit	ever	iam	kailanman	jamais	je	loa	riamh	mai	in perpetuum	ake	noensinne	sempre	?	nunca	milele	någonsin	erioed	njalo	
rooi	rød	rood	red	ruĝa	pula	rouge	rot	ʻulaʻula	dearg	rosso	red	whero	red	vermelho	?	rojo	nyekundu	röd	coch	obomvu	
lys	liste	lijst	list	lerta	listahan	liste	liste	papa	liosta	elenco	album	rārangi	liste	lista	?	lista	orodha	lista	rhestr	uhlu	
alhoewel	selv	hoewel	though	kvankam	bagaman	bien que	obwohl	nae	cé go	anche se	tametsi	ahakoa	skjønt	embora	?	aunque	ingawa	though	er bod	noma	
voel	føler	voelen	feel	sentas	pakiramdam	sentir	fühlen	haha aku	bhraitheann	sentire	sentio	ite	føler	sentir	?	sentir	kujisikia	känna	teimlo	bazizwa	
besprekings	snak	overleg	talk	diskuto	talk	parler	vortrag	o anakuhi	plé	discussioni	disputatio	korero	diskusjon	discussão	?	charla	majadiliano	diskussion	sgwrs	inkulumo	
voël	fugl	vogel	bird	birdo	ibon	oiseau	vogel	manu	éan	uccello	avem	manu	fugl	pássaro	?	pájaro	ndege	fågel	adar	nyoni	
gou	snart	spoedig	soon	baldaŭ	sa lalong madaling panahon	bientôt	bald	koke	go luath	presto	mox	hohoro	snart	em breve	?	pronto	hivi karibuni	snart	yn fuan	ngokushesha	
liggaam	krop	lichaam	body	korpo	katawan	corps	körper	kino	comhlacht	corpo	corpus	tinana	kroppen	corpo	?	cuerpo	mwili	kropp	corff	umzimba	
hond	hund	hond	dog	hundo	aso	chien	hund	ʻīlio	madra	cane	canem	kuri	hund	cão	?	perro	mbwa	hund	ci	inja	
gesin	familie	familie	family	familio	pamilya	famille	familie	ohana	teaghlach	famiglia	familia	whānau	familie	família	?	familia	familia	familj	teulu	umndeni	
direkte	direkte	rechtstreeks	direct	rekta	direct	direct	direkt	kauoha	díreach	diretto	dirige	tika	direkte	direto	?	directa	moja kwa moja	direkt	uniongyrchol	ngqo	
inhou	udgøre	pose	pose	supozi	imungkahi	pose	pose	oweliweli	údar	posa	aut statum	tūpono	posere	representar	?	plantear	litasababisha	pose	peri	abalona	
verlaat	forlade	vertrekken	leave	forlasi	mag-iwan	laisser	verlassen	waiho	saoire	lasciare	relinquo	waiho	forlate	deixar	?	dejar	kuondoka	lämna	gadael	ushiye	
lied	sang	lied	song	kanto	kanta	chanson	lied	mele	song	canzone	canticum	waiata	sangen	canção	?	canción	wimbo	sång	cân	song	
meet	måle	meten	measure	mezuri	sukatin	mesurer	messen	ana	a thomhas	misurare	metiretur	whanganga	måle	medir	?	medir	kupima	mäta	mesur	ukulinganisa	
deur	dør	deur	door	pordo	pinto	porte	tür	puka	doras	porta	ostium	tatau	dør	porta	?	puerta	mlango	dörr	drws	umnyango	
produk	produkt	artikel	product	produkto	produkto	produit	produkt	huahana	táirge	prodotto	vestibulum	hua	produkt	produto	?	producto	bidhaa	produkt	cynnyrch	umkhiqizo	
swart	sort	zwart	black	nigra	itim	noir	schwarz	ʻeleʻele	dubh	nero	nigrum	mangu	svart	preto	?	negro	nyeusi	svart	du	omnyama	
kort	kort	korte	short	mallonga	maikling	court	kurz	pōkole	gearr	breve	breves	poto	kort	curta	?	corto	mfupi	kort	byr	okufutshane	
syfer	talord	cijfer	numeral	numeralo	numeral	chiffre	zahl	numeral	uimhreán	numerale	numerales	whika	tall	numeral	?	numeral	numeral	siffran	rhifolyn	inani	
klas	klasse	klasse	class	klaso	klase	classe	klasse	papa	rang	classe	class	te piha	klasse	classe	?	clase	darasa	klass	dosbarth	ikilasi	
wind	vind	wind	wind	vento	hangin	vent	wind	makani	gaoithe	vento	spiritus	hau	vind	vento	?	viento	upepo	vind	gwynt	ovunguzayo	
vraag	spørgsmål	vraag	question	demando	tanong	question	frage	ninau	ceist	domanda	quaestio	pātai	spørsmål	pergunta	?	pregunta	swali	fråga	cwestiwn	umbuzo	
gebeur	ske	gebeuren	happen	okazi	mangyari	arriver	passieren	hiki mai ana	tharlóidh	accadere	fieri	tupu	skje	acontecer	?	suceder	kutokea	hända	yn digwydd	kwenzeke	
volledige	komplet	compleet	complete	kompleta	kumpleto na ang	complète	vollständig	loa	críochnaithe	integrale	completum	oti	komplett	completo	?	completo	kamili	fullständig	cwblhau	kuqedile	
skip	skib	schip	ship	ŝipo	barko	navire	schiff	moku	long	nave	navem	kaipuke	skip	navio	?	buque	meli	skepp	llong	umkhumbi	
gebied	område	gebied	area	spaco	lugar	zone	bereich	wahi	limistéar	area	area	rohe	område	área	?	zona	eneo	område	ardal	indawo	
helfte	halvdelen	helft	half	duono	kalahati	moitié	hälfte	hapalua	leath	metà	dimidiam	hawhe	halv	metade	?	medio	nusu	halv	hanner	isigamu	
rock	sten	rots	rock	roko	rock	rock	stein	pohaku	carraig	rock	petræ	toka	stein	rocha	?	roca	mwamba	vagga	graig	idwala	
orde	ordre	orde	order	ordon	pagkakasunud-sunod	ordre	bestellen	aoao	ordú	ordine	ut	kia	rekkefølge	ordem	?	orden	ili	för	gorchymyn	oda	
vuur	brand	brand	fire	fajro	sunog	feu	feuer	ke ahi	dóiteáin	fuoco	ignis	te ahi	brann	fogo	?	fuego	moto	eld	tân	umlilo	
suid-	syd	zuiden	south	sude	timog	sud	süden	ka hema	ó dheas	sud	austri	ki te tonga	sør	sul	?	sur	kusini	söder	de	eningizimu	
probleem	problem	probleem	problem	problemo	problema	problème	problem	pilikia	fhadhb	problema	forsit	raruraru	problem	problema	?	problema	tatizo	problemet	problem	inkinga	
stukkie	stykke	stuk	piece	peco	piraso	pièce	stück	kauwahi	píosa	pezzo	frustrum	wahi	piece	peça	?	pieza	kipande	stycke	darn	ucezu	
vertel	fortalt	vertelde	told	rakontis	sinabi	dit	sagte	haʻi	inis	ha detto	nuntiavit	ka korerotia	fortalte	disse	?	dicho	aliiambia	sa	gwybod	utshele	
geweet	vidste	wist	knew	sciis	alam	savait	wusste	ike	bhí a fhios	sapeva	cognovit	i mohio	visste	sabia	?	sabía	alijua	visste	gwybod	wayazi	
slaag	pass	passeren	pass	pasi	pumasa	passer	passieren	kekahi	pas a fháil	passare	factum	haere	passere	passar	?	pasar	kupita	passera	pasio	kudlula	
sedert	siden	sinds	since	ekde	mula noong	depuis	seit	mai	ós rud é	da	cum	mai	siden	desde	?	desde	tangu	sedan	ers	kusukela	
top	top	boven	top	supro	tuktok	haut	obere	luna	barr	top	top	runga	toppen	topo	?	cima	juu	topp	top	phezulu	
geheel	hele	geheel	whole	aro	kabuuan	ensemble	ganze	a pau	fad	tutto	omnis	katoa	hele	inteiro	?	todo	zima	hela	cyfan	wonke	
koning	konge	king	king	reĝo	king	roi	könig	ke alii	rí	re	rex	te kingi	king	rei	?	rey	mfalme	kung	brenin	inkosi	
straat	gade	straat	street	strato	kalye	rue	straße	alanui	ainm	strada	platea	street	street	rua	?	calle	mitaani	gata	stryd	isitaladi	
duim	tommer	inch	inch	colo	inch	pouce	zoll	ʻīniha	orlach	pollice	inch	inihi	tommers	polegada	?	pulgadas	inchi	tum	modfedd	ngamasentimitha	
vermeerder	formere	vermenigvuldigen	multiply	multipliki	paramihin	multiplier	multiplizieren	hoonui	iolrú	moltiplicare	multiplicabo	kia tini	multiplisere	multiplicar	?	multiplicar	kuzidisha	multiplicera	lluosi	phindaphinda	
niks	intet	niets	nothing	nenio	walang anuman	rien	nichts	aole	aon rud	niente	aliquid	kahore	ingenting	nada	?	nada	chochote	ingenting	dim byd	lutho	
natuurlik	kursus	cursus	course	kompreneble	siyempre	cours	kurs	ana	cúrsa	corso	scilicet	akoranga	kurs	curso	?	curso	bila shaka	naturligtvis	cwrs	inkambo	
bly	ophold	blijven	stay	resti	manatili	rester	bleiben	noho	fanacht	soggiornare	manete	noho	opphold	ficar	?	quedarse	kukaa	bo	aros	uhlale	
wiel	hjul	wiel	wheel	radon	gulong	roue	rad	huila	roth	ruota	rotam	wira	wheel	roda	?	rueda	gurudumu	hjul	olwyn	sondo	
volle	fuld	volledige	full	plena	ganap	plein	voll	piha	lán	completo	pleni	tonu	fullt	completo	?	completo	full	fullständig	llawn	egcwele	
